CustomerID,Recency,Frequency,Monetary,Segment_Name
14646.0,2,73,280206.02,VIP & Großhändler (Noise)
18102.0,1,60,259657.3,VIP & Großhändler (Noise)
17450.0,8,46,194390.79,VIP & Großhändler (Noise)
16446.0,1,2,168472.5,VIP & Großhändler (Noise)
14911.0,1,201,143711.17,VIP & Großhändler (Noise)
12415.0,24,21,124914.53,VIP & Großhändler (Noise)
14156.0,10,55,117210.08,VIP & Großhändler (Noise)
17511.0,3,31,91062.38,VIP & Großhändler (Noise)
16029.0,39,63,80850.84,VIP & Großhändler (Noise)
12346.0,326,1,77183.6,VIP & Großhändler (Noise)
16684.0,4,28,66653.56,VIP & Großhändler (Noise)
14096.0,4,17,65164.79,VIP & Großhändler (Noise)
13694.0,4,50,65039.62,VIP & Großhändler (Noise)
15311.0,1,91,60632.75,VIP & Großhändler (Noise)
13089.0,3,97,58762.08,VIP & Großhändler (Noise)
17949.0,1,45,58510.48,VIP & Großhändler (Noise)
15769.0,7,26,56252.72,VIP & Großhändler (Noise)
15061.0,4,48,54534.14,VIP & Großhändler (Noise)
14298.0,8,44,51527.3,VIP & Großhändler (Noise)
14088.0,10,13,50491.81,VIP & Großhändler (Noise)
15749.0,235,3,44534.3,VIP & Großhändler (Noise)
12931.0,22,15,42055.96,VIP & Großhändler (Noise)
17841.0,2,124,40519.84,VIP & Großhändler (Noise)
15098.0,182,3,39916.5,VIP & Großhändler (Noise)
13798.0,1,57,37153.85,VIP & Großhändler (Noise)
16013.0,4,47,37130.6,VIP & Großhändler (Noise)
16422.0,17,51,34684.4,VIP & Großhändler (Noise)
15838.0,11,19,33643.08,VIP & Großhändler (Noise)
12748.0,1,209,33053.19,VIP & Großhändler (Noise)
17404.0,4,15,31906.82,VIP & Großhändler (Noise)
17389.0,1,34,31833.68,VIP & Großhändler (Noise)
14680.0,25,16,28754.11,VIP & Großhändler (Noise)
13081.0,12,11,28337.38,VIP & Großhändler (Noise)
13408.0,2,62,28117.04,VIP & Großhändler (Noise)
17857.0,4,23,26879.04,VIP & Großhändler (Noise)
16333.0,8,22,26626.8,VIP & Großhändler (Noise)
12753.0,23,6,21429.39,VIP & Großhändler (Noise)
12744.0,52,7,21279.29,VIP & Großhändler (Noise)
16210.0,2,18,21086.3,VIP & Großhändler (Noise)
17381.0,9,29,20275.61,VIP & Großhändler (Noise)
15039.0,10,47,19766.59,VIP & Großhändler (Noise)
12731.0,24,12,18895.91,VIP & Großhändler (Noise)
12901.0,9,28,17654.54,VIP & Großhändler (Noise)
12678.0,42,12,17628.46,VIP & Großhändler (Noise)
14031.0,7,19,17286.86,VIP & Großhändler (Noise)
13881.0,4,20,17159.52,VIP & Großhändler (Noise)
16839.0,9,34,16594.35,VIP & Großhändler (Noise)
12921.0,9,37,16587.09,VIP & Großhändler (Noise)
15189.0,1,41,16225.39,VIP & Großhändler (Noise)
14607.0,16,14,16209.5,VIP & Großhändler (Noise)
15513.0,33,19,14758.220000000001,VIP & Großhändler (Noise)
12681.0,15,22,13787.54,VIP & Großhändler (Noise)
12540.0,20,17,13400.24,VIP & Großhändler (Noise)
12433.0,1,7,13375.87,VIP & Großhändler (Noise)
12477.0,23,6,13219.74,VIP & Großhändler (Noise)
14258.0,9,9,12669.98,VIP & Großhändler (Noise)
12536.0,43,3,12601.830000000002,VIP & Großhändler (Noise)
16000.0,3,3,12393.7,VIP & Großhändler (Noise)
17340.0,30,11,12353.29,VIP & Großhändler (Noise)
14606.0,1,93,12076.15,VIP & Großhändler (Noise)
12557.0,16,5,11990.960000000001,VIP & Großhändler (Noise)
12939.0,64,8,11581.8,VIP & Großhändler (Noise)
12971.0,4,86,11189.91,VIP & Großhändler (Noise)
12409.0,79,3,11072.67,VIP & Großhändler (Noise)
17107.0,33,6,10797.48,VIP & Großhändler (Noise)
17865.0,31,20,10526.32,VIP & Großhändler (Noise)
14769.0,3,8,10416.98,VIP & Großhändler (Noise)
16180.0,100,8,10254.18,VIP & Großhändler (Noise)
16843.0,43,16,10196.57,VIP & Großhändler (Noise)
12590.0,211,2,9864.26,VIP & Großhändler (Noise)
15078.0,7,32,9743.11,VIP & Großhändler (Noise)
14667.0,11,25,9175.04,VIP & Großhändler (Noise)
12451.0,11,5,9035.52,VIP & Großhändler (Noise)
14527.0,3,55,8507.13,VIP & Großhändler (Noise)
14952.0,60,11,8099.49,VIP & Großhändler (Noise)
14849.0,22,25,7930.54,VIP & Großhändler (Noise)
13093.0,276,8,7832.47,VIP & Großhändler (Noise)
12435.0,80,2,7829.89,VIP & Großhändler (Noise)
17811.0,4,39,7761.82,VIP & Großhändler (Noise)
13263.0,1,35,7436.93,VIP & Großhändler (Noise)
12980.0,158,9,7374.900000000001,VIP & Großhändler (Noise)
16729.0,38,21,7205.33,VIP & Großhändler (Noise)
16745.0,87,17,7180.7,VIP & Großhändler (Noise)
12766.0,4,7,6989.63,VIP & Großhändler (Noise)
12798.0,10,3,6977.04,VIP & Großhändler (Noise)
13027.0,114,6,6912.0,VIP & Großhändler (Noise)
16532.0,18,3,6748.8,VIP & Großhändler (Noise)
17315.0,2,38,6281.23,VIP & Großhändler (Noise)
12357.0,33,1,6207.67,VIP & Großhändler (Noise)
15939.0,90,15,6115.01,VIP & Großhändler (Noise)
14735.0,4,32,6065.69,VIP & Großhändler (Noise)
16553.0,163,12,5719.82,VIP & Großhändler (Noise)
13468.0,2,37,5704.97,VIP & Großhändler (Noise)
17850.0,372,34,5391.21,VIP & Großhändler (Noise)
15032.0,256,3,4959.1,VIP & Großhändler (Noise)
12688.0,114,1,4873.8099999999995,VIP & Großhändler (Noise)
13802.0,139,3,4599.42,VIP & Großhändler (Noise)
16984.0,88,2,4459.52,VIP & Großhändler (Noise)
12752.0,81,1,4366.78,VIP & Großhändler (Noise)
18251.0,87,1,4314.72,VIP & Großhändler (Noise)
14422.0,1,6,4263.64,VIP & Großhändler (Noise)
12569.0,2,32,4124.69,VIP & Großhändler (Noise)
18087.0,98,2,4055.7199999999993,VIP & Großhändler (Noise)
12378.0,130,1,4008.62,VIP & Großhändler (Noise)
15195.0,3,1,3861.0,VIP & Großhändler (Noise)
18073.0,114,12,3859.82,VIP & Großhändler (Noise)
16240.0,24,2,3718.8,VIP & Großhändler (Noise)
15581.0,121,13,3675.77,VIP & Großhändler (Noise)
15808.0,306,4,3651.27,VIP & Großhändler (Noise)
17230.0,264,8,3638.41,VIP & Großhändler (Noise)
12406.0,22,2,3415.3,VIP & Großhändler (Noise)
13868.0,7,2,3192.54,VIP & Großhändler (Noise)
13631.0,100,11,3070.42,VIP & Großhändler (Noise)
17504.0,206,9,2997.0299999999997,VIP & Großhändler (Noise)
12438.0,14,2,2906.85,VIP & Großhändler (Noise)
